GTD ID,DATE,REGION,COUNTRY,CITY,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
200403060004,3/6/04,Middle East & North Africa,Israel,Erez,"Al-Aqsa Martyrs Brigade,Hamas (Islamic Resistance Movement),Palestinian Islamic Jihad (PIJ)",Bombing/Explosion,Explosives/Bombs/Dynamite,Military,6,20
200403040002,3/4/04,Middle East & North Africa,Israel,Nazareth,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Journalists & Media,0,0
200402220001,2/22/04,Middle East & North Africa,Israel,Jerusalem,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,8,60
200401290001,1/29/04,Middle East & North Africa,Israel,Jerusalem,"Al-Aqsa Martyrs Brigade (suspected),Hamas (Islamic Resistance Movement) (suspected)",Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,11,50
200401190001,1/19/04,Middle East & North Africa,Israel,Golan Heights district,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,2,1
200401140001,1/14/04,Middle East & North Africa,Israel,Erez,"Al-Aqsa Martyrs Brigade,Hamas (Islamic Resistance Movement)",Bombing/Explosion,Explosives/Bombs/Dynamite,"Military,Private Citizens & Property",5,7
200401130002,1/13/04,Middle East & North Africa,West Bank and Gaza Strip,Talmon,Palestinian Extremists,Armed Assault,Firearms,Private Citizens & Property,1,1
200401110002,1/11/04,Middle East & North Africa,West Bank and Gaza Strip,Qedumim,Palestinian Islamic Jihad (PIJ) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,1,0
200401010002,1/1/04,Middle East & North Africa,Israel,Kfar Aza,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200312250001,12/25/03,Middle East & North Africa,Israel,Tel Aviv,Popular Front for the Liberation of Palestine (PFLP),Bombing/Explosion,Explosives/Bombs/Dynamite,"Private Citizens & Property,Transportation",4,13
200312230001,12/23/03,Middle East & North Africa,West Bank and Gaza Strip,Nisanit,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,2
200312080002,12/8/03,Middle East & North Africa,Israel,Rosh Haayin,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200312030003,12/3/03,Middle East & North Africa,West Bank and Gaza Strip,Bardala,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,0,0
200312030002,12/3/03,Middle East & North Africa,West Bank and Gaza Strip,Netzarim,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200311220003,11/22/03,Middle East & North Africa,Israel,Jerusalem,Unknown,Armed Assault,Firearms,Business,2,0
200311180004,11/18/03,Middle East & North Africa,West Bank and Gaza Strip,Bethlehem,Unknown,Armed Assault,Firearms,Military,2,0
200311140004,11/14/03,Middle East & North Africa,Turkey,Istanbul,Great Eastern Islamic Raiders Front (IBDA-C),Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions,11,151
200311100004,11/10/03,Middle East & North Africa,Iraq,Kirkuk,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,Unknown,Unknown
200311030001,11/3/03,Middle East & North Africa,West Bank and Gaza Strip,Azzun,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,1,0
200310290001,10/29/03,Middle East & North Africa,West Bank and Gaza Strip,Jenin,Al-Aqsa Martyrs Brigade,Armed Assault,Firearms,Private Citizens & Property,0,2
200310090004,10/9/03,Middle East & North Africa,West Bank and Gaza Strip,Tulkarem,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,1,3
200310040002,10/4/03,Middle East & North Africa,Israel,Haifa,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Business,23,50
200309260001,9/26/03,Middle East & North Africa,West Bank and Gaza Strip,Negohot,Unknown,Armed Assault,Firearms,Private Citizens & Property,2,2
200309090002,9/9/03,Middle East & North Africa,Israel,Tzrifin,Hamas (Islamic Resistance Movement) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,9,14
200309090001,9/9/03,Middle East & North Africa,Israel,Jerusalem,Hamas (Islamic Resistance Movement) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Business,5,40
200308190002,8/19/03,Middle East & North Africa,Israel,Jerusalem,"Hamas (Islamic Resistance Movement),Palestinian Islamic Jihad (PIJ)",Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,19,100
200308120002,8/12/03,Middle East & North Africa,West Bank and Gaza Strip,Ariel,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,"Military,Transportation",2,2
200308120001,8/12/03,Middle East & North Africa,Israel,Rosh Haayin,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,3,10
200308100001,8/10/03,Middle East & North Africa,Israel,Shlomi,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,1,4
200308070003,8/7/03,Middle East & North Africa,West Bank and Gaza Strip,Ramallah,Al-Aqsa Martyrs Brigade,Assassination,Firearms,Private Citizens & Property,1,0
200308030002,8/3/03,Middle East & North Africa,Israel,Jerusalem,Al-Aqsa Martyrs Brigade,Armed Assault,Firearms,Private Citizens & Property,0,4
200308020002,8/2/03,Middle East & North Africa,Lebanon,Beirut,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Terrorists/Non-state Militia,2,Unknown
200307070009,7/7/03,Middle East & North Africa,Israel,Kfar Yavetz,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,1,3
200307050002,7/5/03,Middle East & North Africa,Israel,Qiryat Shemona,Hezbollah (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200307010001,7/1/03,Middle East & North Africa,West Bank and Gaza Strip,Tulkarem,Al-Aqsa Martyrs Brigade (suspected),Armed Assault,Firearms,Military,1,0
200306300002,6/30/03,Middle East & North Africa,West Bank and Gaza Strip,Yabed,Al-Aqsa Martyrs Brigade,Armed Assault,Firearms,Business,1,0
200306220001,6/22/03,Middle East & North Africa,West Bank and Gaza Strip,Beit Hanoun,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,4,3
200306190001,6/19/03,Middle East & North Africa,Israel,Sdei Trumot,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Business,2,Unknown
200306170003,6/17/03,Middle East & North Africa,West Bank and Gaza Strip,Gush Qatif,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,2
